;UNIVALLE;CIAT;CENICA A;UAD;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA_AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCA A;PROCA A;CIAMSA;TECNICA A;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
UDEA;0.0;0.0;0.0;0.0;0.09130141538942756;0.004595769728646941;0.037748301585432804;0.03974159756332205;0.01795789769352448;0.04081739722207475;0.0;0.0;0.0;0.013525864091335668;0.0;0.011415245531587785;0.025607503127932422;0.0;0.0;0.0;0.0;0.0;0.0;0.04835048127323293;0.050008107866072224;0.0;0.0;0.0;0.0;0.05616453303187736;0.03153303067558187;0.026246859471017372;0.05617613641802723;0.05613801100639192;0.056049327983675026;0.05616867709835945;0.056157902525506;0.05617613641802723;0.05618110929780575;0.0;0.05580648568782407;0.0;0.05613220931331699
SENA;0.03652022881909588;0.051330339169146;0.05109754404175744;0.01272481840386616;0.042831344179400974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032366414067260194;0.04235588972431078;0.016960506018300372;0.03399203427885487;0.03143326071764334;0.032191817721718766;0.01880265143555751;0.029449909899584206;0.031132081478792973;0.03336848204677581;0.0;0.0;0.010653336338120503;0.038875799853858084;0.039295051799779684;0.03962304278337059;0.0;0.0;0.000758817424083238;0.03984819831006005;0.039798404299349874;0.03968257910052406;0.039838456003616754;0.0;0.03984819831006005;0.03985469318102224;0.016465580367660642;0.039365412901870143;0.03974428037466491;0.039790826949893984
BIOPACIFICO;0.012141084867736024;0.05542919890340182;0.0547487676450818;0.0;0.03058769160812433;0.004564334678164655;0.029269799783250724;0.0;0.014521872388769593;0.0;0.0;0.0011395395779720996;0.020265893025702104;0.0;0.029197997258504565;0.009646248850280854;0.004751486075048421;0.0005842842497352869;0.00010932168309000889;0.03099424124758573;0.03706931511692639;0.038029122436258986;0.039305159708936686;0.037170607523857244;0.03840588077911155;0.013595417447328865;0.019026126583279516;0.042686720245195334;0.04287386414336636;0.0;0.0;0.020698856301668737;0.04300233256191281;0.042973921277041964;0.04290783415788586;0.04299677383226417;0.0;0.0;0.043006038381678574;0.029660763768538708;0.0427268666259911;0.0429430394456606;0.04296959782064857
CORPOICA_AGROSAVIA;0.0035137184840941804;0.04774165561778686;0.04650324819573835;0.0;0.0025292897348618924;0.0;0.0;0.0;0.0;0.0;0.03981323379720845;0.0;0.02550296788176471;0.006014778074445869;0.0;0.015290852328094096;0.005035973466300638;0.006576640428393316;0.006119904540247878;0.03581961596640229;0.041661559003851635;0.04258453373750316;0.043811603106694935;0.0;0.0;0.019088471663337197;0.002095402098019652;0.04706339632853666;0.04724335858355365;0.047358581941551334;0.02970743257900993;0.02591931620112746;0.047366897029241885;0.04733957602683007;0.04727602499948083;0.0;0.0;0.047366897029241885;0.04737046063825212;0.03453731065755183;0.04710200209281424;0.047309879285078085;0.04733541848298479
BIOTEC;0.040090388200201915;0.07044578123251981;0.06996863505191325;0.00480110199490596;0.05302590202868001;0.016635418534029;0.03552412961857291;0.03821314925009336;0.008826245726080031;0.0;0.0;0.02784633197243334;0.0192245336982797;0.03157656376573471;0.05205139160896658;0.0;0.0;0.029663935431608373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.060151300680472905;0.060368211203763955;0.0;0.020008318630377765;0.0603838645404963;0.06033243214837574;0.06021279593192141;0.06037380168116836;0.0;0.0;0.06039057311338159;0.0;0.05988519395602306;0.0;0.0
ALEXANDER VON HUMBOLT;0.008561598075895255;0.058715259219668595;0.05792691074291822;0.014388393184866826;0.029933858898984516;0.0;0.0;0.0;0.0;0.0;0.0;0.0023311065581975814;0.02299740394946711;0.001099817809307071;0.028323757349011224;0.0;0.0;0.0017311452653777598;0.0012179414453794965;0.03458953704877772;0.04115374091549155;0.04219082639829688;0.04356960285098403;0.0;0.0;0.01578986005352269;0.016538615713522192;0.047223427187122524;0.0;0.04755510767937108;0.0;0.023465226937527946;0.047564450791828784;0.04753375199375346;0.04746234391996957;0.047558444505248834;0.0;0.047564450791828784;0.047568454982882084;0.033148695634764386;0.0472668059235333;0.04750038373497595;0.047529080437524615
CORPOGEN;0.018432669109105532;0.07209722098114554;0.07125368599767672;0.011830169065449512;0.04130104548297741;0.004019488002623469;0.0;0.0;0.014075693089261506;0.03127952589502777;0.0;0.0;0.019876630150775818;0.0033812885354302653;0.03957823250826557;0.009151757910380427;0.009271736216602613;0.0;0.0027486372978286033;0.0;0.03684655420406167;0.03781587207434051;0.0;0.03694885029847977;0.03819636364504199;0.0;0.0;0.0;0.0;0.04282962821417407;0.02429220364093279;0.020313883578745875;0.0428383608076;0.04280966800062907;0.042742926036588;0.04283274699754047;0.04282463816078782;0.0428383608076;0.04284210334763969;0.02936459290805477;0.04256016533131663;0.0;0.0428053017039161
CENIPALMA;0.014607239038745142;0.06458743204870852;0.06380181025902217;0.0111368614233138;0.03590557891337855;0.0;0.0;0.0;0.013168414558552196;0.0;0.03201332716914967;0.0;0.018416593491251375;0.0005892163422648041;0.034301046275120754;0.0;0.006075253246515463;0.0004339623224995331;0.0;0.028218837368776624;0.03376949199050019;0.03464644576054476;0.035812331532045466;0.0;0.0;0.012321934085536198;0.022556666300487024;0.038901985258553845;0.03907297431410308;0.03918245245527981;0.02241141700357154;0.018812182032307518;0.03919035293969464;0.039164394205188816;0.039104011931447004;0.0;0.03917793789275707;0.03919035293969464;0.0391937388615867;0.02700046980794893;0.038938666079051214;0.039136178189421604;0.0391604439629814
INCAUCA;0.04332046295145892;0.05527813086374918;0.055090172316573184;0.02410807297888812;0.04841605102278123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01383406764596256;0.03996667717960237;0.0480321695832099;0.0;0.041279201271746654;0.0;0.03982570826922036;0.0;0.018457981632093917;0.02137417759145483;0.02525117942674418;0.0;0.0;0.02243556048283047;0.045222348589833046;0.0355254219476586;0.03609402386251468;0.03645807921394069;0.008196107665204415;0.013275767046088077;0.03648435124961061;0.036398028846695164;0.03619723543121793;0.0;0.03644306662212931;0.03648435124961061;0.03649561069346915;0.00171950213285165;0.035647399256126075;0.03630420014787403;0.036384892828860205
RIOPAILA;0.041020414940868714;0.050609237901248015;0.05045851442857922;0.025614049130742823;0.04510655383127146;0.0;0.0;0.0;0.02331487751376097;0.0;0.0;0.0;0.017375350836557852;0.038331022807782444;0.04479872029810889;0.0;0.039383532481334124;0.03772685159954221;0.038217980203280835;0.006281847784620415;0.0;0.0057178961001824995;0.013319680748172878;0.0;0.0;0.024272865687503406;0.04254553211346668;0.033464778012329374;0.03457965736777036;0.03529347451283819;0.012854285315276038;0.016927651030028884;0.03534498709031731;0.035175731478600196;0.03478202820786691;0.0;0.03526403875427869;0.03534498709031731;0.03536706390923693;0.00766071209602703;0.033703943550625295;0.03499175798760334;0.035149975189860634
MAYAGUEZ;0.043792470053543135;0.05378745576997286;0.05363034796198849;0.02773352237554698;0.04805168935644159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019145849820468824;0.04098916081870328;0.04773081662996502;0.0;0.042086252630390786;0.04035939816466422;0.040871329962714996;0.007582448868398465;0.0010345149729140664;0.0;0.008918310362380657;0.0;0.0;0.02633552916890635;0.045382188042808774;0.03255226449308448;0.03386022579018096;0.03469766635663878;0.014433281291988337;0.018679186373871167;0.034758100211950166;0.03455953183021275;0.034097644507475704;0.0;0.03466313272503228;0.034758100211950166;0.03478400043565504;0.00901971902703519;0.03283285024988735;0.034343696632672074;0.03452931490255705
PROVIDENCIA;0.04796225170244351;0.05857560262965668;0.058408774947571816;0.03090977638492896;0.05248497843964279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021790805626899785;0.04498550861236127;0.05214425410589316;0.0;0.04615047479912345;0.0;0.044860387850797614;0.009512005466669807;0.002558966987912062;0.0014604491152006413;0.0;0.0;0.0;0.029425292773156767;0.049650321638115884;0.03115708005520068;0.03288138969113233;0.0339854031213988;0.01678668206131153;0.021295270859351068;0.034065074193686075;0.033803297813313614;0.03319438318940376;0.0;0.03393987679437751;0.034065074193686075;0.03409921893895205;0.011038195998963215;0.03152698146224872;0.0335187582694305;0.033763462277169976
RISARALDA;0.0;0.0;0.08473810520507284;0.0;0.075768844723097;0.0;0.0;0.0;0.039248541989743986;0.00972811557525997;0.0;0.06243911082780733;0.0;0.06441384657831396;0.0;0.0;0.0;0.06340132624228184;0.0;0.0;0.0;0.0;0.0;0.0;0.011496295057638245;0.0;0.0;0.0;0.0;0.054193534901706676;0.02171781198565299;0.028544296872770172;0.05427400896711015;0.05400959418078447;0.05339454239520082;0.054222275639350774;0.05414754972147613;0.05427400896711015;0.05430849785228306;0.0;0.05171033516925681;0.0;0.053969357148082736
GPC;0.0;0.07849313306128028;0.07826558040115938;0.040756995522501976;0.07018553255449352;0.05283078539552703;0.0;0.011943622037786419;0.03728585324947128;0.010692082407121467;0.0;0.05817730870218124;0.0;0.05995626911710948;0.0;0.0;0.0;0.059044130064251965;0.0;0.0;0.0;0.0;0.0;0.001928412373905937;0.0;0.0;0.0;0.0;0.0;0.04384421962247223;0.021493120113368614;0.027642827173754648;0.04392685546990285;0.04365533768548797;0.04302376370869684;0.04387373242512602;0.043796999138226156;0.04392685546990285;0.04396227083308739;0.0;0.04129431347318467;0.0;0.0
